"id","description","price"
"1","111","275.0"
"2","available in credit","330.0"
"3","special price","385.0"
"4","goods with gift","495.0"
"5","warranty from producer","1155.0"
"6","regular price","825.0"
"7","discount item","935.0"
"8","2 for price 1","1045.0"
"9","","1265.0"
"10","available in credit","1375.0"
"11","special price","1155.0"
"12","goods with gift","1760.0"
"13","warranty from producer","1100.0"
"14","regular price","1155.0"
"15","discount item","1045.0"
"16","2 for price 1","1056.0"
"17","","165.0"
"18","available in credit","275.0"
"19","special price","385.0"
"20","goods with gift","495.0"
"21","warranty from producer","55.0"
"22","regular price","66.0"
"23","discount item","77.0"
"24","2 for price 1","60.5"
"25","","165.0"
"26","available in credit","154.0"
"27","special price","143.0"
"28","goods with gift","132.0"
"29","warranty from producer","55.0"
"30","regular price","110.0"
"31","discount item","99.0"
"32","2 for price 1","88.0"
"33","","11.0"
"34","available in credit","55.0"
"35","special price","22.0"
"36","goods with gift","27.5"
"37","warranty from producer","275.0"
"38","regular price","220.0"
"39","discount item","22.0"
"40","2 for price 1","165.0"
"41","","22.0"
"42","available in credit","11.0"
"43","special price","16.5"
"44","goods with gift","17.6"
"45","warranty from producer","1.1"
"46","regular price","2.2"
"47","discount item","3.3"
"48","2 for price 1","4.4"
"49","","4.4"
"50","available in credit","3.3"
"51","special price","2.2"
"52","goods with gift","1.1"
"53","warranty from producer","1.1"
"54","regular price","2.2"
"55","discount item","2.2"
"56","2 for price 1","1.1"
"57","","1.1"
"58","available in credit","2.2"
"59","special price","3.3"
"60","goods with gift","3.3"
"61","warranty from producer","7.7"
"62","regular price","6.6"
"63","discount item","8.8"
"64","2 for price 1","9.9"
"65","","3.3"
"66","available in credit","2.2"
"67","special price","4.4"
"68","goods with gift","5.5"
"69","warranty from producer","1.1"
"70","regular price","2.2"
"71","discount item","2.2"
"72","2 for price 1","1.1"
"73","","5.5"
"74","available in credit","4.4"
"75","special price","3.3"
"76","goods with gift","2.2"
"77","warranty from producer","1.1"
"78","regular price","5.5"
"79","discount item","4.4"
"80","2 for price 1","5.5"
"81","","4.4"
"82","available in credit","1.1"
"83","special price","2.2"
"84","goods with gift","3.3"
"85","warranty from producer","4.4"
"86","regular price","5.5"
"87","discount item","2.2"
"88","2 for price 1","1.1"
"89","","1.1"
"90","available in credit","2.2"
"91","special price","2.2"
"92","goods with gift","2.2"
"93","warranty from producer","1.1"
"94","regular price","1.1"
"95","discount item","1.1"
"96","2 for price 1","2.2"
"97","","3.3"
"98","available in credit","4.4"
"99","special price","1.1"
"100","goods with gift","2.2"
"101","warranty from producer","11.0"
"102","regular price","16.5"
"103","discount item","12.1"
"104","2 for price 1","13.2"
"105","","11.0"
"106","available in credit","16.5"
"107","special price","12.1"
"108","goods with gift","13.2"
"109","warranty from producer","275.0"
"110","regular price","330.0"
"111","discount item","385.0"
"112","2 for price 1","495.0"
"113","","1155.0"
"114","available in credit","825.0"
"115","special price","935.0"
"116","goods with gift","1045.0"
"117","warranty from producer","1265.0"
"118","regular price","1375.0"
"119","discount item","1155.0"
"120","2 for price 1","1760.0"
"121","","1100.0"
"122","available in credit","1155.0"
"123","special price","1045.0"
"124","goods with gift","1056.0"
"125","warranty from producer","165.0"
"126","regular price","275.0"
"127","discount item","385.0"
"128","2 for price 1","495.0"
"129","","55.0"
"130","available in credit","66.0"
"131","special price","77.0"
"132","goods with gift","60.5"
"133","warranty from producer","165.0"
"134","regular price","154.0"
"135","discount item","143.0"
"136","2 for price 1","132.0"
"137","","55.0"
"138","available in credit","110.0"
"139","special price","99.0"
"140","goods with gift","88.0"
"141","warranty from producer","11.0"
"142","regular price","55.0"
"143","discount item","22.0"
"144","2 for price 1","27.5"
"145","","275.0"
"146","available in credit","220.0"
"147","special price","22.0"
"148","goods with gift","165.0"
"149","warranty from producer","22.0"
"150","regular price","11.0"
"151","discount item","16.5"
"152","2 for price 1","17.6"
"153","","1.1"
"154","available in credit","2.2"
"155","special price","3.3"
"156","goods with gift","4.4"
"157","warranty from producer","4.4"
"158","regular price","3.3"
"159","discount item","2.2"
"160","2 for price 1","1.1"
"161","","1.1"
"162","available in credit","2.2"
"163","special price","2.2"
"164","goods with gift","1.1"
"165","warranty from producer","1.1"
"166","regular price","2.2"
"167","discount item","3.3"
"168","2 for price 1","3.3"
"169","","7.7"
"170","available in credit","6.6"
"171","special price","8.8"
"172","goods with gift","9.9"
"173","warranty from producer","3.3"
"174","regular price","2.2"
"175","discount item","4.4"
"176","2 for price 1","5.5"
"177","","1.1"
"178","available in credit","2.2"
"179","special price","2.2"
"180","goods with gift","1.1"
"181","warranty from producer","5.5"
"182","regular price","4.4"
"183","discount item","3.3"
"184","2 for price 1","2.2"
"185","","1.1"
"186","available in credit","5.5"
"187","special price","4.4"
"188","goods with gift","5.5"
"189","warranty from producer","4.4"
"190","regular price","1.1"
"191","discount item","2.2"
"192","2 for price 1","3.3"
"193","","4.4"
"194","available in credit","5.5"
"195","special price","2.2"
"196","goods with gift","1.1"
"197","warranty from producer","1.1"
"198","regular price","2.2"
"199","discount item","2.2"
"200","2 for price 1","2.2"
"201","","1.1"
"202","available in credit","1.1"
"203","special price","1.1"
"204","goods with gift","2.2"
"205","warranty from producer","3.3"
"206","regular price","4.4"
"207","discount item","1.1"
"208","2 for price 1","2.2"
"209","","11.0"
"210","available in credit","16.5"
"211","special price","12.1"
"212","goods with gift","13.2"
"213","warranty from producer","11.0"
"214","regular price","16.5"
"215","discount item","12.1"
"216","2 for price 1","13.2"
"217","","275.0"
"218","available in credit","330.0"
"219","special price","385.0"
"220","goods with gift","495.0"
"221","warranty from producer","1155.0"
"222","regular price","825.0"
"223","discount item","935.0"
"224","2 for price 1","1045.0"
"225","","1265.0"
"226","available in credit","1375.0"
"227","special price","1155.0"
"228","goods with gift","1760.0"
"229","warranty from producer","1100.0"
"230","regular price","1155.0"
"231","discount item","1045.0"
"232","2 for price 1","1056.0"
"233","","165.0"
"234","available in credit","275.0"
"235","special price","385.0"
"236","goods with gift","495.0"
"237","warranty from producer","55.0"
"238","regular price","66.0"
"239","discount item","77.0"
"240","2 for price 1","60.5"
"241","","165.0"
"242","available in credit","154.0"
"243","special price","143.0"
"244","goods with gift","132.0"
"245","warranty from producer","55.0"
"246","regular price","110.0"
"247","discount item","99.0"
"248","2 for price 1","88.0"
"249","","11.0"
"250","available in credit","55.0"
"251","special price","22.0"
"252","goods with gift","27.5"
"253","warranty from producer","275.0"
"254","regular price","220.0"
"255","discount item","22.0"
"256","2 for price 1","165.0"
"257","","22.0"
"258","available in credit","11.0"
"259","special price","16.5"
"260","goods with gift","17.6"
"261","warranty from producer","1.1"
"262","regular price","2.2"
"263","discount item","3.3"
"264","2 for price 1","4.4"
"265","","4.4"
"266","available in credit","3.3"
"267","special price","2.2"
"268","goods with gift","1.1"
"269","warranty from producer","1.1"
"270","regular price","2.2"
"271","discount item","2.2"
"272","2 for price 1","1.1"
"273","","1.1"
"274","available in credit","2.2"
"275","special price","3.3"
"276","goods with gift","3.3"
"277","warranty from producer","7.7"
"278","regular price","6.6"
"279","discount item","8.8"
"280","2 for price 1","9.9"
"281","","3.3"
"282","available in credit","2.2"
"283","special price","4.4"
"284","goods with gift","5.5"
"285","warranty from producer","1.1"
"286","regular price","2.2"
"287","discount item","2.2"
"288","2 for price 1","1.1"
"289","","5.5"
"290","available in credit","4.4"
"291","special price","3.3"
"292","goods with gift","2.2"
"293","warranty from producer","1.1"
"294","regular price","5.5"
"295","discount item","4.4"
"296","2 for price 1","5.5"
"297","","4.4"
"298","available in credit","1.1"
"299","special price","2.2"
"300","goods with gift","3.3"
"301","warranty from producer","4.4"
"302","regular price","5.5"
"303","discount item","2.2"
"304","2 for price 1","1.1"
"305","","1.1"
"306","available in credit","2.2"
"307","special price","2.2"
"308","goods with gift","2.2"
"309","warranty from producer","1.1"
"310","regular price","1.1"
"311","discount item","1.1"
"312","2 for price 1","2.2"
"313","","3.3"
"314","discount item","4.4"
"315","goods with gift","1.1"
"316","","2.2"
"317","regular price","11.0"
"318","available in credit","16.5"
"319","2 for price 1","12.1"
